seed,prompt_version,test,file_name,timestamp,prompt,prompt_subject,prompt_style
8230757283234980150,v1,Baseline,router_best_output_selector_00032_.png,2026-05-02T15:13:56.744589+00:00,A valiant Jedi Knight riding a unicorn in the Martian desert. Van Gogh style,A valiant Jedi Knight riding a unicorn in the Martian desert,Van Gogh style
8230757283234980150,v2,Subject,router_best_output_selector_00033_.png,2026-05-02T15:14:28.519042+00:00,"A valiant Jedi Knight riding a unicorn, full body unicorn, correct proportions, well-defined legs, realistic anatomy, no extra limbs, Martian desert. Van Gogh style","A valiant Jedi Knight riding a unicorn, full body unicorn, correct proportions, well-defined legs, realistic anatomy, no extra limbs, Martian desert",Van Gogh style
8230757283234980150,v3,Style,router_best_output_selector_00034_.png,2026-05-02T15:14:59.830420+00:00,"A valiant Jedi Knight riding a unicorn in the Martian desert. Oil painting in Van Gogh style, thick impasto, swirling brushstrokes, vivid colors",A valiant Jedi Knight riding a unicorn in the Martian desert,"Oil painting in Van Gogh style, thick impasto, swirling brushstrokes, vivid colors"
8230757283234980150,v4,Style consistency,router_best_output_selector_00035_.png,2026-05-02T15:15:32.099453+00:00,"A valiant Jedi Knight riding a unicorn in the Martian desert. Oil painting in Van Gogh style, foreground and background share the same painterly texture and lighting",A valiant Jedi Knight riding a unicorn in the Martian desert,"Oil painting in Van Gogh style, foreground and background share the same painterly texture and lighting"
8230757283234980150,v5,Composition,router_best_output_selector_00036_.png,2026-05-02T15:16:04.160376+00:00,"A valiant Jedi Knight riding a unicorn in the Martian desert. Low angle wide shot, full body Jedi riding a unicorn, centered composition, no cropping, Martian desert, Van Gogh oil painting style",A valiant Jedi Knight riding a unicorn in the Martian desert,"Low angle wide shot, full body Jedi riding a unicorn, centered composition, no cropping, Martian desert, Van Gogh oil painting style"
8230757283234980150,v6,Density,router_best_output_selector_00037_.png,2026-05-02T15:16:35.306886+00:00,"A valiant Jedi Knight riding a unicorn in the Martian desert. Highly detailed oil painting in Van Gogh style, thick impasto, swirling brushstrokes, dramatic lighting, dust particles, atmospheric depth",A valiant Jedi Knight riding a unicorn in the Martian desert,"Highly detailed oil painting in Van Gogh style, thick impasto, swirling brushstrokes, dramatic lighting, dust particles, atmospheric depth"
8230757283234980150,v7,Simple,router_best_output_selector_00038_.png,2026-05-02T15:17:06.973367+00:00,A Jedi riding a unicorn. Oil painting in Van Gogh style,A Jedi riding a unicorn,Oil painting in Van Gogh style
1817777231737725390,v1,Baseline,router_best_output_selector_00001_.png,2026-05-05T06:58:39.271428+00:00,A valiant Jedi Knight riding a unicorn in the Martian desert. Van Gogh style,A valiant Jedi Knight riding a unicorn in the Martian desert,Van Gogh style
1817777231737725390,v2,Subject,router_best_output_selector_00002_.png,2026-05-05T06:59:13.685253+00:00,"A valiant Jedi Knight riding a unicorn, full body unicorn, correct proportions, well-defined legs, realistic anatomy, no extra limbs, Martian desert. Van Gogh style","A valiant Jedi Knight riding a unicorn, full body unicorn, correct proportions, well-defined legs, realistic anatomy, no extra limbs, Martian desert",Van Gogh style
1817777231737725390,v3,Style,router_best_output_selector_00003_.png,2026-05-05T06:59:48.470490+00:00,"A valiant Jedi Knight riding a unicorn in the Martian desert. Oil painting in Van Gogh style, thick impasto, swirling brushstrokes, vivid colors",A valiant Jedi Knight riding a unicorn in the Martian desert,"Oil painting in Van Gogh style, thick impasto, swirling brushstrokes, vivid colors"
